Fecha,Totales,Recuperados,Muertes,Hospitalizados
2020-03-19,177.0,3.0,1.0,0.0
2020-03-20,217.9634938097119,102.60020196930112,1.0,5.428965816152508
2020-03-21,264.91096286760956,165.63115639938837,1.3257379489691505,8.20684919199282
2020-03-22,318.98488506578127,217.77675579806262,1.818148900488719,10.05482587648467
2020-03-23,378.4147487033036,269.7923023476672,2.4214384530778,11.671810179770226
2020-03-24,442.0269606879693,324.8919678304969,3.1217470638640132,13.260986191651789
2020-03-25,509.43836190227813,383.666569799661,3.9174062353631203,14.857927238835408
2020-03-26,580.6835457319252,446.1287277840827,4.808881869693245,16.46238035842775
2020-03-27,655.954104600406,512.3035749170382,5.796624691198909,18.074805323153953
2020-03-28,735.4878778535958,582.3115813641334,6.881113010588148,19.700802789776745
2020-03-29,819.5365677949253,656.337614543355,8.06316117797475,21.348804969705096
2020-03-30,908.361417482063,734.6001859044984,9.344089476157059,23.028056270176187
2020-03-31,1002.2354784677348,817.3368623302813,10.725772852367628,24.74771969824227
2020-04-01,1101.4460840943282,904.7998167117241,12.210636034262162,26.516644195973026
2020-04-02,1206.296548538132,997.2554873650521,13.801634686020547,28.34338412866114
2020-04-03,1317.1073775919494,1094.9854124697947,15.502237733740216,30.236280459368626
2020-04-04,1434.2173101352007,1198.2872493270422,17.31641456130233,32.20354216234776
2020-04-05,1557.9843517112788,1307.4757716275767,19.248627091043197,34.25331657366601
2020-04-06,1688.7868582314886,1422.8838557612448,21.303826085463157,36.393750620712744
