Fecha,Totales,Recuperados,Muertes,Hospitalizados
2020-03-19,177.0,3.0,1.0,0.0
2020-03-20,194.03088288088634,102.60020196930112,1.0,5.428965816152508
2020-03-21,213.5496488043515,151.85258482618758,1.3257379489691505,7.455812621912632
2020-03-22,252.6877218425911,182.7497376962618,1.7730867062839082,8.23658461363847
2020-03-23,309.0404235215216,217.72961024656718,2.2672817831022174,9.145296309889577
2020-03-24,382.9261763062105,264.25934587828755,2.8159995616955915,10.573462256153753
2020-03-25,478.48511670852525,325.4832840091438,3.450407297064817,12.629534955006083
2020-03-26,602.1959186112497,405.04497589532406,4.208179394365182,15.436037476103973
2020-03-27,762.5257298919792,508.13509696556713,5.134341642931418,19.184977809716404
2020-03-28,934.4805581499187,641.7053360214746,6.285440311514404,24.14108855606797
2020-03-29,1111.061739942369,794.1458823667675,7.733905624878483,29.52528454359356
2020-03-30,1291.4088289443775,956.8633231813463,9.505422697494096,34.817292225324884
2020-03-31,1476.0517720990345,1125.9708682331864,11.59446023101359,39.816421745857305
2020-04-01,1665.534387151092,1300.2316340026414,13.98344553576503,44.49073911941135
2020-04-02,1860.2075313731737,1479.4605789055647,16.652889882929706,48.869512884644465
2020-04-03,2060.295364946639,1663.7772581430795,19.585060656008377,52.99506819508624
